TAX (cents/pack),RANK,REGION,STATE
200,11,4,AK
42.5,46,2,AL
115,27,2,AR
200,11,4,AZ
87,32,4,CA
84,33,4,CO
300,2,1,CT
250,8,1,DC
160,18,1,DE
133.9,23,2,FL
37,47,2,GA
260,5,4,HI
136,22,3,IA
57,42,4,ID
98,30,3,IL
99.5,29,3,IN
79,35,3,KS
60,40,2,KY
36,48,2,LA
251,7,1,MA
200,11,1,MD
200,11,1,ME
200,11,3,MI
123,25,3,MN
17,50,3,MO
68,37,2,MS
170,17,4,MT
45,44,2,NC
44,45,3,ND
64,38,3,NE
178,16,1,NH
270,4,1,NJ
91,31,4,NM
80,34,4,NV
275,3,1,NY
125,24,3,OH
103,28,3,OK
118,26,4,OR
160,18,1,PA
346,1,1,RI
7,51,2,SC
153,20,3,SD
62,39,2,TN
141,21,2,TX
69.5,36,4,UT
30,49,2,VA
224,9,1,VT
202.5,10,4,WA
252,6,3,WI
55,43,2,WV
60,40,4,WY
